words,syllables,sentences,letters,avg_word_len,avg_word_syl,avg_sent_len,level
199,456,21,1041,5.231,2.291,9.476,beginner
255,523,23,1174,4.604,2.051,11.087,beginner
55,109,6,301,5.473,1.982,9.167,beginner
257,577,35,1310,5.097,2.245,7.343,beginner
131,237,15,547,4.176,1.809,8.733,beginner
142,296,10,668,4.704,2.085,14.2,beginner
80,156,6,359,4.488,1.95,13.333,beginner
114,288,16,683,5.991,2.526,7.125,beginner
256,565,48,1279,4.996,2.207,5.333,beginner
112,218,12,525,4.688,1.946,9.333,beginner
242,496,34,1151,4.756,2.05,7.118,beginner
324,670,39,1555,4.799,2.068,8.308,beginner
239,478,45,1150,4.812,2.0,5.311,beginner
134,264,17,622,4.642,1.97,7.882,beginner
232,510,34,1174,5.06,2.198,6.824,beginner
236,466,30,1102,4.669,1.975,7.867,beginner
344,765,44,1785,5.189,2.224,7.818,beginner
213,452,24,1045,4.906,2.122,8.875,beginner
229,522,21,1179,5.148,2.279,10.905,beginner
177,370,25,862,4.87,2.09,7.08,beginner
297,604,41,1415,4.764,2.034,7.244,beginner
183,426,42,1001,5.47,2.328,4.357,beginner
147,310,16,743,5.054,2.109,9.188,beginner
265,566,18,1340,5.057,2.136,14.722,beginner
143,303,21,712,4.979,2.119,6.81,beginner
216,495,24,1176,5.444,2.292,9.0,beginner
173,381,24,876,5.064,2.202,7.208,beginner
131,306,28,708,5.405,2.336,4.679,beginner
204,453,42,990,4.853,2.221,4.857,beginner
214,445,31,1028,4.804,2.079,6.903,beginner
275,575,34,1303,4.738,2.091,8.088,beginner
178,432,35,1016,5.708,2.427,5.086,beginner
217,457,47,1082,4.986,2.106,4.617,beginner
298,640,54,1488,4.993,2.148,5.519,beginner
222,483,42,1137,5.122,2.176,5.286,beginner
316,726,48,1674,5.297,2.297,6.583,beginner
181,426,22,976,5.392,2.354,8.227,beginner
195,421,28,1006,5.159,2.159,6.964,beginner
169,384,29,862,5.101,2.272,5.828,beginner
225,495,31,1167,5.187,2.2,7.258,beginner
114,264,15,581,5.096,2.316,7.6,beginner
180,376,21,885,4.917,2.089,8.571,beginner
107,264,9,630,5.888,2.467,11.889,beginner
148,388,16,905,6.115,2.622,9.25,beginner
156,377,21,883,5.66,2.417,7.429,beginner
150,368,19,876,5.84,2.453,7.895,beginner
170,401,14,934,5.494,2.359,12.143,beginner
68,173,7,400,5.882,2.544,9.714,beginner
119,275,12,625,5.252,2.311,9.917,beginner
155,327,16,759,4.897,2.11,9.688,beginner
183,437,20,1027,5.612,2.388,9.15,beginner
178,437,24,1029,5.781,2.455,7.417,beginner
170,435,24,1005,5.912,2.559,7.083,beginner
216,541,18,1270,5.88,2.505,12.0,beginner
183,436,21,1034,5.65,2.383,8.714,beginner
208,473,19,1097,5.274,2.274,10.947,beginner
199,449,27,1076,5.407,2.256,7.37,beginner
135,301,21,711,5.267,2.23,6.429,beginner
361,788,33,1890,5.235,2.183,10.939,beginner
214,504,24,1177,5.5,2.355,8.917,beginner
211,553,27,1229,5.825,2.621,7.815,beginner
177,447,21,997,5.633,2.525,8.429,beginner
211,530,23,1236,5.858,2.512,9.174,beginner
179,426,20,1015,5.67,2.38,8.95,beginner
145,370,16,824,5.683,2.552,9.062,beginner
176,461,18,1102,6.261,2.619,9.778,beginner
255,683,28,1608,6.306,2.678,9.107,beginner
154,411,14,977,6.344,2.669,11.0,beginner
265,636,35,1471,5.551,2.4,7.571,beginner
235,541,27,1272,5.413,2.302,8.704,beginner
145,343,15,809,5.579,2.366,9.667,beginner
196,478,29,1126,5.745,2.439,6.759,beginner
210,501,28,1191,5.671,2.386,7.5,beginner
284,672,35,1614,5.683,2.366,8.114,beginner
149,338,19,797,5.349,2.268,7.842,beginner
158,398,12,941,5.956,2.519,13.167,beginner
188,474,18,1123,5.973,2.521,10.444,beginner
175,437,15,1009,5.766,2.497,11.667,beginner
101,249,18,600,5.941,2.465,5.611,beginner
151,446,13,1007,6.669,2.954,11.615,beginner
214,538,21,1252,5.85,2.514,10.19,beginner
159,412,17,963,6.057,2.591,9.353,beginner
182,421,25,1037,5.698,2.313,7.28,beginner
206,500,26,1172,5.689,2.427,7.923,beginner
286,596,46,1440,5.035,2.084,6.217,beginner
192,498,18,1151,5.995,2.594,10.667,beginner
274,674,37,1596,5.825,2.46,7.405,beginner
148,368,16,899,6.074,2.486,9.25,beginner
199,450,35,1078,5.417,2.261,5.686,beginner
137,360,17,853,6.226,2.628,8.059,beginner
79,154,10,370,4.684,1.949,7.9,beginner
116,239,12,584,5.034,2.06,9.667,beginner
128,294,18,703,5.492,2.297,7.111,beginner
144,352,18,873,6.062,2.444,8.0,beginner
134,273,21,654,4.881,2.037,6.381,beginner
111,229,15,517,4.658,2.063,7.4,beginner
174,431,23,1026,5.897,2.477,7.565,beginner
115,244,17,592,5.148,2.122,6.765,beginner
117,245,21,596,5.094,2.094,5.571,beginner
151,269,19,649,4.298,1.781,7.947,beginner
147,333,22,806,5.483,2.265,6.682,beginner
99,206,12,489,4.939,2.081,8.25,beginner
174,407,29,1004,5.77,2.339,6.0,beginner
129,261,14,653,5.062,2.023,9.214,beginner
129,303,11,697,5.403,2.349,11.727,beginner
236,513,33,1162,4.924,2.174,7.152,beginner
205,444,23,1075,5.244,2.166,8.913,beginner
137,331,25,779,5.686,2.416,5.48,beginner
134,339,11,813,6.067,2.53,12.182,beginner
231,507,37,1218,5.273,2.195,6.243,beginner
154,330,21,793,5.149,2.143,7.333,beginner
119,250,16,593,4.983,2.101,7.438,beginner
142,288,19,700,4.93,2.028,7.474,beginner
153,328,23,816,5.333,2.144,6.652,beginner
117,264,17,633,5.41,2.256,6.882,beginner
212,451,25,1073,5.061,2.127,8.48,beginner
108,251,15,594,5.5,2.324,7.2,beginner
144,291,16,742,5.153,2.021,9.0,beginner
160,346,29,839,5.244,2.162,5.517,beginner
170,398,24,905,5.324,2.341,7.083,beginner
148,345,19,840,5.676,2.331,7.789,beginner
109,251,16,591,5.422,2.303,6.812,beginner
143,286,14,667,4.664,2.0,10.214,beginner
137,266,21,599,4.372,1.942,6.524,beginner
159,383,14,911,5.73,2.409,11.357,beginner
145,377,7,884,6.097,2.6,20.714,beginner
